"","reaction_type","sampleID","starting_quantity","Cycle_number","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V39","all_products","gblock+IRE_plus18IRE","0.5","B20","3665.17249","3607.602966","3603.444509","3601.270228","3600.302372","3599.899012","3593.535905","3594.105695","3592.879787","3594.257547","3589.912768","3594.035889","3589.003201","3593.533982","3592.262331","3596.111841","3603.129642","3607.391277","3622.565346","3641.983705","3680.058036","3738.319918","3813.805279","3912.744382","4013.045284","4112.151656","4216.401653","4310.863178","4401.015475","4483.649371","4558.833164","4630.726132","4704.251728","4764.664442","4818.356341","4870.588901","4912.15402","4960.684304","5000.121186","5032.444462"
"V40","all_products","gblock+IRE_plus18IRE","0.5","B21","3565.979474","3517.817763","3508.5506","3506.396177","3504.53423","3501.215368","3490.586061","3488.354135","3487.751584","3485.192867","3482.484712","3482.866189","3482.819074","3485.506935","3484.358895","3487.813295","3494.36102","3495.268563","3513.617196","3532.151313","3568.706518","3623.558198","3691.51037","3779.47149","3871.685564","3967.306509","4055.34304","4136.446508","4219.303175","4295.327276","4360.162437","4424.161642","4480.705228","4536.667012","4585.06062","4638.425486","4681.003993","4721.187278","4758.714243","4794.51122"
"V41","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","B22","3532.317346","3473.09201","3470.268903","3464.09029","3462.394784","3457.928817","3455.431414","3455.266495","3459.370102","3452.120499","3449.899366","3451.486075","3447.268389","3448.855748","3448.600343","3456.434094","3461.508167","3473.02036","3499.437323","3536.407256","3591.199502","3673.067643","3752.208949","3848.389385","3943.362259","4026.056359","4110.58147","4181.950415","4255.608244","4315.886504","4375.902749","4433.577967","4486.764252","4529.981861","4572.102713","4615.4612","4642.984866","4679.808687","4708.489198","4728.863756"
"V42","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","B23","3563.94318","3499.959314","3502.128166","3494.900136","3490.534139","3489.066721","3487.401916","3486.033858","3486.092244","3487.793816","3487.494439","3491.098831","3488.221106","3487.658683","3496.141808","3495.246718","3506.353574","3518.561703","3541.696577","3583.089664","3646.821738","3724.134016","3813.676529","3909.71974","4004.864052","4099.642548","4180.901023","4262.664652","4335.627748","4404.17613","4466.347032","4522.801831","4571.719793","4620.378619","4664.923742","4703.714749","4740.671576","4776.641392","4807.435404","4835.279217"
"V43","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","B24","3555.702702","3520.055147","3524.442467","3520.071608","3512.775403","3512.940313","3510.674708","3506.09352","3511.303025","3504.621632","3505.717839","3507.94825","3502.204211","3507.31699","3508.878158","3508.277331","3518.774517","3532.579826","3555.931567","3596.5179","3657.510101","3738.591864","3828.452278","3920.289187","4016.57674","4111.49194","4197.060839","4272.577541","4360.684469","4420.741859","4485.75655","4548.334306","4606.091093","4654.69794","4697.674468","4751.524455","4786.477053","4822.677542","4862.833331","4885.80473"
"V44","test1","10_B_66","NaN","C1","3565.224285","3538.429965","3535.009095","3533.184616","3530.130542","3520.28194","3519.986219","3519.718406","3516.796985","3511.645015","3509.310796","3511.342995","3507.812098","3508.699456","3505.540491","3501.133823","3498.909309","3497.973262","3496.157136","3498.333427","3494.388389","3494.986111","3497.225067","3495.488973","3497.576155","3503.113194","3500.24639","3509.21862","3518.557782","3532.992878","3568.629732","3624.544812","3695.094311","3779.219845","3873.384335","3963.229671","4049.93047","4128.492561","4212.433766","4280.387517"
"V45","test1","30_B_186","NaN","C2","3534.500598","3498.264464","3492.350315","3487.696133","3482.004857","3482.832501","3484.317846","3481.795341","3482.373062","3477.514674","3478.352413","3474.534999","3473.087091","3467.791994","3470.274402","3470.547713","3471.091738","3467.156932","3471.006718","3473.345766","3469.175428","3472.222148","3465.983039","3465.962198","3468.557522","3471.608168","3468.794856","3471.823084","3472.372215","3477.687163","3480.415124","3497.46405","3519.190985","3552.747655","3611.634934","3680.543372","3757.060194","3830.402552","3910.712663","3986.061029"
"V46","test1","46_B_282","NaN","C3","3564.545197","3525.17772","3520.07272","3521.065407","3515.451499","3511.513088","3511.478272","3510.574489","3504.047991","3503.058428","3498.763936","3501.704163","3497.951126","3499.108605","3498.639892","3497.440872","3497.013519","3499.825881","3503.01343","3493.197179","3492.371454","3491.976779","3501.275587","3506.027828","3516.700022","3537.696507","3570.121031","3624.597737","3703.481186","3783.748294","3870.688899","3957.971149","4043.567781","4120.458505","4191.897075","4263.197853","4330.841934","4392.981033","4457.990421","4507.054614"
"V47","test1","233_B_1654","NaN","C4","3509.716437","3469.601445","3464.002783","3459.903586","3459.337063","3460.597378","3455.071939","3454.824058","3458.581756","3452.165772","3449.149584","3450.60672","3447.357011","3443.593236","3445.589002","3442.283837","3441.286838","3441.23736","3442.436847","3441.27749","3445.527311","3440.003074","3443.733687","3447.717195","3451.363503","3454.891236","3463.339615","3484.62371","3516.453275","3575.161987","3645.214437","3730.471644","3812.943275","3899.644647","3980.481554","4060.148714","4132.559713","4195.290869","4264.238478","4319.135532"
"V48","test1","162_B_942","NaN","C5","3518.863523","3486.96738","3483.545493","3480.348948","3475.673516","3474.963563","3476.100101","3478.212338","3469.792467","3473.802661","3470.568721","3465.631193","3467.759458","3465.12809","3461.095116","3459.411078","3465.962542","3462.198169","3459.737696","3464.961746","3463.550319","3465.91557","3473.074239","3483.37945","3502.437564","3534.176283","3583.670763","3655.969628","3739.95527","3827.174783","3911.09744","3997.157872","4082.75226","4152.811904","4225.359112","4292.914335","4353.581723","4408.533202","4462.705118","4508.213324"
"V49","test1","170_B_990","NaN","C6","3475.818166","3438.183253","3434.959337","3432.701502","3428.227676","3427.653615","3422.948797","3426.830933","3425.730051","3428.067598","3417.187907","3422.893199","3421.585336","3419.357165","3422.555934","3415.561613","3415.721745","3417.364594","3413.661895","3416.980568","3414.748415","3418.344096","3422.179725","3430.488529","3443.605297","3459.752908","3501.769688","3555.4622","3625.263981","3702.069085","3785.689996","3866.952541","3946.550194","4017.354438","4085.398661","4149.406548","4207.573816","4260.685972","4315.338126","4362.143538"
