"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"V39","all_products","gblock_minusIRE_onlyExonnoIRE","0.10","11.30"," 8.62"
"V40","all_products","gblock_minusIRE_onlyExonnoIRE","0.10","12.57","10.35"
"V41","all_products","500","NaN","28.03","27.40"
"V42","all_products","524","NaN","27.23","26.38"
"V43","all_products","548","NaN","29.66","28.78"
"V44","all_products","572","NaN","27.70","27.02"
"V45","all_products","596","NaN","26.26","25.20"
"V46","all_products","620","NaN","26.71","25.41"
"V47","all_products","643","NaN","27.37","26.74"
"V48","all_products","668","NaN","29.82","29.24"
"V49","all_products","692","NaN","25.75","24.10"
"V50","all_products","1809","NaN","26.28","24.97"
"V51","all_products","1848","NaN","25.25","23.79"
"V52","all_products","gblock+IRE_plus18IRE","10.00","8.73","5.66"
"V53","all_products","gblock+IRE_plus18IRE","10.00","8.68","5.59"
"V54","all_products","gblock+IRE_plus18IRE","10.00","8.64","5.35"
"V55","all_products","gblock_minusIRE_onlyExonnoIRE","10.00","7.91","4.37"
"V56","all_products","gblock_minusIRE_onlyExonnoIRE","10.00","8.28","5.07"
"V57","all_products","gblock_minusIRE_onlyExonnoIRE","10.00","8.44","5.15"
"V58","all_products","1014","NaN","28.14","27.26"
"V59","all_products","1051","NaN","25.35","23.36"
"V60","all_products","1064","NaN","24.43","22.41"
"V61","all_products","1026","NaN","27.79","11.78"
"V62","all_products","1086","NaN","26.00","23.83"
"V63","all_products","1258","NaN","24.57","22.18"
"V64","all_products","1296","NaN","23.19","20.48"
"V65","all_products","978","NaN","24.34","21.21"
"V66","all_products","1440","NaN","17.18","13.51"
"V67","all_products","1320","NaN","30.67","29.79"
"V68","all_products","1535","NaN","30.21","29.32"
"V69","all_products","1547","NaN","15.83"," 9.88"
"V70","all_products","1426","NaN","10.16"," 9.30"
"V71","all_products","1522","NaN","1","1"
"V72","all_products","1342","NaN","28.29","27.22"
"V73","all_products","gblock+IRE_plus18IRE","0.05","15.39","13.13"
"V74","all_products","gblock+IRE_plus18IRE","0.05","14.90","12.59"
"V75","all_products","gblock+IRE_plus18IRE","0.05","16.48","14.55"
"V76","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","15.11","12.85"
"V77","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","12.93","10.27"
"V78","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","13.68","11.14"
"V79","all_products","509","Nan","28.07","27.30"
"V80","all_products","533","Nan","26.88","25.50"
"V81","all_products","557","Nan","28.15","27.60"
"V82","all_products","581","Nan","27.53","27.00"
"V83","all_products","605","Nan","27.96","27.26"
"V84","all_products","629","Nan","24.59","22.92"
"V85","all_products","644","Nan","26.32","24.68"
"V86","all_products","677","Nan","27.61","26.96"
"V87","all_products","701","Nan","23.53","22.13"
"V88","all_products","1810","Nan","25.08","23.99"
"V89","all_products","1847","Nan","27.46","26.90"
"V90","all_products","gblock+IRE_plus18IRE","5.00","10.07"," 6.40"
"V91","all_products","gblock+IRE_plus18IRE","5.00","10.39"," 6.77"
"V92","all_products","gblock+IRE_plus18IRE","5.00","8.98","5.09"
"V93","all_products","gblock_minusIRE_onlyExonnoIRE","5.00","8.59","4.64"
"V94","all_products","gblock_minusIRE_onlyExonnoIRE","5.00","9.74","6.02"
"V95","all_products","gblock_minusIRE_onlyExonnoIRE","5.00","8.59","4.74"
"V96","all_products","1015","NaN","25.31","23.00"
"V97","all_products","1038","NaN","24.16","21.29"
"V98","all_products","1073","NaN","28.85","23.05"
"V99","all_products","1049","NaN","25.00","22.84"
"V100","all_products","1052","NaN","24.45","22.35"
"V101","all_products","1305","NaN","22.92","20.42"
"V102","all_products","1307","NaN","24.00","22.24"
"V103","all_products","1026","NaN","19.37"," 4.48"
"V104","all_products","1423","NaN","3.14","1.80"
"V105","all_products","1344","NaN","28.93","27.32"
"V106","all_products","1353","NaN","22.43","21.51"
"V107","all_products","1488","NaN","22.26","19.58"
"V108","all_products","1536","NaN","25.36","22.11"
"V109","all_products","1329","NaN","10.10"," 8.96"
"V110","all_products","gblock+IRE_plus18IRE","0.01","17.78","16.23"
"V111","all_products","gblock+IRE_plus18IRE","0.01","15.93","13.10"
"V112","all_products","gblock+IRE_plus18IRE","0.01","19.31","18.12"
"V113","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","17.74","16.05"
"V114","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","16.14","13.81"
"V115","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","16.84","14.88"
"V116","all_products","510","NaN","28.43","27.61"
"V117","all_products","534","NaN","27.51","26.07"
"V118","all_products","558","NaN","27.98","27.01"
"V119","all_products","582","NaN","28.50","27.61"
"V120","all_products","606","NaN","27.65","26.66"
"V121","all_products","630","NaN","23.9","22.9"
"V122","all_products","653","NaN","24.71","23.25"
"V123","all_products","678","NaN","26.59","22.43"
"V124","all_products","702","NaN","25.40","23.88"
"V125","all_products","1811","NaN","27.72"," 6.29"
