"","sampleID","Plot","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"149",1440,215,2016,"PH207xMo035","D","2015_48x47","215_D_1440","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.31,17.18,1.05334150827713,7.9501568082522,9.2298431917478
"150",1449,216,2016,"PH207xMo039","A","2015_49x50","216_A_1449","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.49,18.81,1.50600480384307,10.8795969921043,7.93040300789572
"151",1450,216,2016,"PH207xMo039","B","2015_49x50","216_B_1450","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.87,24.34,1.63685272360457,12.6761427214517,11.6638572785483
"152",1451,216,2016,"PH207xMo039","C","2015_49x50","216_C_1451","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.38,28.93,2.16218236173393,18.8483140255286,10.0816859744714
"153",1452,216,2016,"PH207xMo039","D","2015_49x50","216_D_1452","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.65,21.7,1.38658146964856,9.5074853537408,12.1925146462592
"154",1461,217,2016,"PH207xMo045","A","2015_57x58","217_A_1461","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.59,27.62,2.19380460683082,18.9135449739305,8.70645502606954
"155",1462,217,2016,"PH207xMo045","B","2015_57x58","217_B_1462","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.23,16.85,1.37775960752249,9.42865213701307,7.42134786298693
"156",1467,217,2016,"PH207xMo045","C","2015_57x58","217_C_1467","6/21/16","No","1:00-1:30PM","29-31 C",14.97,22.35,1.49298597194389,10.708160330954,11.641839669046
"157",1487,219,2016,"PH207xMo052","C","2015_65x66","219_C_1487","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.58,20.88,1.4320987654321,9.96820867487458,10.9117913251254
"158",1488,219,2016,"PH207xMo052","D","2015_65x66","219_D_1488","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.17,22.26,1.37662337662338,9.41874565567467,12.8412543443253
"159",1497,220,2016,"PH207xMo054","A","2015_68x67","220_A_1497","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.84,14.57,0.981805929919138,7.87578022346517,6.69421977653483
"160",1498,220,2016,"PH207xMo054","B","2015_68x68","220_B_1498","6/16/16","Yes","1:00-2:30 PM","32-34 C",20.86,25.54,1.22435282837967,8.47647260726268,17.0635273927373
"161",1499,220,2016,"PH207xMo054","C","2015_68x69","220_C_1499","6/16/16","Yes","1:00-2:30 PM","32-34 C",18.9,21.5,1.13756613756614,8.14061932361382,13.3593806763862
"162",1500,220,2016,"PH207xMo054","D","2015_68x70","220_D_1500","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.31,20.74,1.27161250766401,8.70828283803083,12.0317171619692
"163",1521,222,2016,"PH207xMo061","A","2015_77x78","222_A_1521","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.39,18.69,1.39581777445855,9.59368823540011,9.09631176459989
"164",1523,222,2016,"PH207xMo061","C","2015_77x78","222_C_1523","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.52,33.15,2.13595360824742,18.7728426041985,14.3771573958015
"165",1533,223,2016,"PH207xMo63","A","2015_80x79","223_A_1533","6/16/16","Yes","1:00-2:30 PM","32-34 C",21.94,22.73,1.03600729261623,7.92636599723631,14.8036340027637
"166",1536,223,2016,"PH207xMo63","D","2015_80x79","223_D_1536","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.21,25.36,1.91975775927328,16.8724312239067,8.48756877609332
"167",1543,224,2016,"PH207xMo74","C","2015_85x86","224_C_1543","6/11/16","No","1:00-3:00 PM","30-34 C",12.84,19.15,1.49143302180685,10.687945471117,8.46205452888296
"168",1545,224,2016,"PH207xMo74","A","2015_85x86","224_A_1545","6/16/16","Yes","1:00-2:30 PM","32-34 C",23.1,28.27,1.22380952380952,8.47400134395258,19.7959986560474
"169",1546,224,2016,"PH207xMo74","B","2015_85x86","224_B_1546","6/16/16","Yes","1:00-2:30 PM","32-34 C",11.51,23.48,2.03996524761077,18.2444031645929,5.23559683540705
"170",1557,225,2016,"PH207xMo262","A","2015_93x94","225_A_1557","6/16/16","Yes","1:00-2:30 PM","32-34 C",20.3,29.63,1.45960591133005,10.287567213825,19.342432786175
"171",1558,225,2016,"PH207xMo262","B","2015_93x95","225_B_1558","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.39,30.53,1.75560667050029,14.3705540318921,16.1594459681079
"172",1809,246,2016,"PH207xMo364","A","2015_168x167","246_A_1809","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.61,26.28,1.58217940999398,11.92064121764,14.35935878236
"173",1810,246,2016,"PH207xMo364","B","2015_168x167","246_B_1810","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.9,25.08,1.80431654676259,15.1104491619613,9.96955083803867
"174",1811,246,2016,"PH207xMo364","C","2015_168x167","246_C_1811","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.3,27.72,1.60231213872832,12.1987722178878,15.5212277821122
"175",1812,246,2016,"PH207xMo364","D","2015_168x167","246_D_1812","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.15,27.56,1.81914191419142,15.3401605513115,12.2198394486885
"176",1821,247,2016,"PH207xMo365","A","2015_169x170","247_A_1821","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.21,28.18,1.63742010459035,12.6839979817827,15.4960020182173
"177",1823,247,2016,"PH207xMo365","C","2015_169x170","247_C_1823","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.45,27.67,1.91487889273356,16.8025536927718,10.8674463072282
"178",1824,247,2016,"PH207xMo365","D","2015_169x170","247_D_1824","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.94,27.8,1.74404015056462,14.1990016765454,13.6009983234546
"179",1845,249,2016,"PH207xMo383","A","2015_181x182","249_A_1845","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.06,26.75,1.77622841965471,14.6805251913519,12.0694748086481
"180",1846,249,2016,"PH207xMo383","B","2015_181x182","249_B_1846","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.2,27.46,1.80657894736842,15.1454033465488,12.3145966534512
"181",1847,249,2016,"PH207xMo383","C","2015_181x182","249_C_1847","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.32,27.46,1.68259803921569,13.3140601662923,14.1459398337077
"182",1848,249,2016,"PH207xMo383","D","2015_181x182","249_D_1848","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.4,25.25,1.75347222222222,14.3387701946972,10.9112298053028
