"","sampleID","Plot","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"32",595,99,2016,"Mo266","C","2015_99self","99_C_595","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.69,26.16,1.56740563211504,11.7165839129534,14.4434160870466
"33",596,99,2016,"Mo266","D","2015_99self","99_D_596","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15.63,26.26,1.68010236724248,13.2789206578998,12.9810793421002
"34",605,102,2016,"Mo267","A","2015_102self","102_A_605","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.43,27.96,1.70176506390749,13.5857731480888,14.3742268519112
"35",606,102,2016,"Mo267","B","2015_102self","102_B_606","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.72,27.65,1.7589058524173,14.4197937974848,13.2302062025152
"36",607,102,2016,"Mo267","C","2015_102self","102_C_607","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.37,27.96,1.81912817176318,15.3399469899773,12.6200530100227
"37",608,102,2016,"Mo267","D","2015_102self","102_D_608","6/16/16","Yes ","1:00-2:30 PM","32-34 C",14.88,27.85,1.87163978494624,16.1558249183188,11.6941750816812
"38",617,103,2016,"Mo269","A","2015_103self","103_A_617","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.75,29.69,1.88507936507937,16.3611037325558,13.3288962674442
"39",618,103,2016,"Mo269","B","2015_103self","103_B_618","6/16/16","Yes","1:00-2:30 PM","32-34 C",18.6,36.03,1.93709677419355,17.1138960698504,18.9161039301496
"40",619,103,2016,"Mo269","C","2015_103self","103_C_619","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.56,26.63,1.60809178743961,12.2786032610452,14.3513967389548
"41",620,103,2016,"Mo269","D","2015_103self","103_D_620","6/16/16","Yes ","1:00-2:30 PM","32-34 C",16.01,26.71,1.6683322923173,13.1138322636677,13.5961677363323
"42",629,106,2016,"Mo272","A","2015_106self","106_A_629","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.66,24.59,1.47599039615846,10.4901192903838,14.0998807096162
"43",630,106,2016,"Mo272","B","2015_106self","106_B_630","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.84,23.9,1.41923990498812,9.82905159785981,14.0709484021402
"44",631,106,2016,"Mo272","C","2015_106self","106_C_631","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.76,27.79,1.65811455847255,12.971254470068,14.818745529932
"45",632,106,2016,"Mo272","D","2015_106self","106_D_632","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15.84,27.46,1.73358585858586,14.0453817791216,13.4146182208784
"46",641,107,2016,"Mo275","A","2011_61","107_A_641","6/16/16","Yes","1:00-2:30 PM","32-34 C",20.5,33.44,1.63121951219512,12.5981926003778,20.8418073996222
"47",642,107,2016,"Mo275","B","2011_62","107_B_642","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.36,28.81,1.76100244498778,14.4511555481441,14.3588444518559
"48",643,107,2016,"Mo275","C","2011_63","107_C_643","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.84,27.37,1.72790404040404,13.9624534840418,13.4075465159582
"49",644,107,2016,"Mo275","D","2011_64","107_D_644","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15.62,26.32,1.68501920614597,13.3481996862594,12.9718003137406
