"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"81","all_products","582","NaN","28.50","27.61"
"82","all_products","606","NaN","27.65","26.66"
"83","all_products","630","NaN","23.9","22.9"
"84","all_products","653","NaN","24.71","23.25"
"85","all_products","678","NaN","26.59","22.43"
"86","all_products","702","NaN","25.40","23.88"
"87","all_products","1811","NaN","27.72"," 6.29"
"88","all_products","1846","NaN","27.46","26.71"
"89","all_products","1016","NaN","25.46","22.81"
"90","all_products","1037","NaN","27.84","26.78"
"91","all_products","1074","NaN","23.37","20.40"
"92","all_products","1199","NaN","25.09","22.98"
"93","all_products","1281","NaN","22.80","19.81"
"94","all_products","1293","NaN","24.26","22.49"
"95","all_products","1306","NaN","13.23","10.21"
"96","all_products","1462","NaN","16.85","11.78"
"97","all_products","1467","NaN","22.35","20.00"
"98","all_products","1390","NaN","21.56","19.17"
"99","all_products","1356","NaN","13.40","13.13"
"100","all_products","1378","NaN","23.5"," 6.9"
"101","all_products","1497","NaN","14.57","12.42"
"102","all_products","1524","NaN","1","1"
"103","all_products","1463","NaN","1","1"
"104","all_products","511","NaN","28.39","27.46"
"105","all_products","535","NaN","26.78","24.50"
"106","all_products","559","NaN","27.52","26.67"
"107","all_products","583","NaN","30.85","30.15"
"108","all_products","607","NaN","27.96","27.42"
"109","all_products","631","NaN","27.79"," 6.07"
"110","all_products","654","NaN","27.00","25.63"
"111","all_products","679","NaN","26.07","24.54"
"112","all_products","703","NaN","26.27","24.85"
"113","all_products","1812","NaN","27.56","26.79"
"114","all_products","1845","NaN","26.75","26.08"
"115","all_products","977","NaN","28.42","24.22"
"116","all_products","1013","NaN","23.75","21.31"
"117","all_products","1075","NaN","25.34","22.15"
"118","all_products","1259","NaN","24.38","21.79"
"119","all_products","1282","NaN","22.88","19.69"
"120","all_products","1223","NaN","27.75","24.24"
"121","all_products","1317","NaN","14.18","11.20"
"122","all_products","1380","NaN","21.59","20.27"
"123","all_products","1452","NaN","21.70","21.21"
"124","all_products","1389","NaN","25.89","21.98"
"125","all_products","1486","NaN","15.29","11.20"
"126","all_products","1523","NaN","33.15","31.72"
"127","all_products","1543","NaN","19.15","14.17"
"128","all_products","1449","NaN","18.81","17.15"
"129","all_products","1332","NaN","16.79","12.93"
"130","all_products","512","NaN","27.50","26.86"
"131","all_products","536","NaN","28.48","27.66"
"132","all_products","560","NaN","27.12","25.85"
"133","all_products","584","NaN","27.24","26.57"
"134","all_products","608","NaN","27.85","27.02"
"135","all_products","632","NaN","27.46","26.84"
"136","all_products","655","NaN","27.30","26.59"
"137","all_products","680","NaN","28.20","27.55"
"138","all_products","704","NaN","26.32","24.75"
"139","all_products","1824","NaN","27.80","27.25"
"140","all_products","1025","NaN","1","1"
