"","sampleID.exp","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"54","1329",16.62,10.1,0.607701564380265,7.82370232995429,2.2762976700457
"55","1332",12.66,16.79,1.326224328594,9.03257325453846,7.75742674546154
"56","1341",17.89,31.73,1.77361654555618,14.6409811602661,17.0890188397339
"57","1342",14.88,28.29,1.90120967741935,16.6028855310762,11.6871144689238
"58","1344",16.36,28.93,1.76833740831296,14.5613019476804,14.3686980523196
"59","1353",21.93,22.43,1.02279981760146,7.91101410198,14.51898589802
"60","1354",15.77,28.77,1.82435003170577,15.4211592834417,13.3488407165583
"61","1355",11.98,30.21,2.52170283806344,19.0449307936551,11.1650692063449
"62","1356",17.22,13.4,0.778164924506388,7.82693435528811,5.57306564471189
"63","1378",14.31,23.5,1.64220824598183,12.7503238188053,10.7496761811947
"64","1379",17.52,30.63,1.74828767123288,14.2618053135016,16.3681946864984
"65","1380",13.52,21.59,1.59689349112426,12.1239226757427,9.46607732425727
"66","1389",17.08,25.89,1.51580796252927,11.0106896527137,14.8793103472863
"67","1390",15.04,21.56,1.43351063829787,9.98389965122841,11.5761003487716
"68","1391",20.45,27.16,1.3281173594132,9.04534442110196,18.114655578898
"69","1423",14.37,3.14,0.218510786360473,7.82333535276756,-4.68333535276756
"70","1424",12.68,29.41,2.31940063091483,19.0208753030758,10.3891246969242
"71","1426",21.4,10.16,0.474766355140187,7.82339564071366,2.33660435928634
"72","1437",20.17,30.34,1.50421417947447,10.8558239126828,19.4841760873172
"73","1440",16.31,17.18,1.05334150827713,7.9501568082522,9.2298431917478
"74","1449",12.49,18.81,1.50600480384307,10.8795969921043,7.93040300789572
"75","1450",14.87,24.34,1.63685272360457,12.6761427214517,11.6638572785483
"76","1451",13.38,28.93,2.16218236173393,18.8483140255286,10.0816859744714
"77","1452",15.65,21.7,1.38658146964856,9.5074853537408,12.1925146462592
"78","1461",12.59,27.62,2.19380460683082,18.9135449739305,8.70645502606954
"79","1462",12.23,16.85,1.37775960752249,9.42865213701307,7.42134786298693
"80","1467",14.97,22.35,1.49298597194389,10.708160330954,11.641839669046
"81","1487",14.58,20.88,1.4320987654321,9.96820867487458,10.9117913251254
"82","1488",16.17,22.26,1.37662337662338,9.41874565567467,12.8412543443253
"83","1497",14.84,14.57,0.981805929919138,7.87578022346517,6.69421977653483
"84","1498",20.86,25.54,1.22435282837967,8.47647260726268,17.0635273927373
"85","1499",18.9,21.5,1.13756613756614,8.14061932361382,13.3593806763862
"86","1500",16.31,20.74,1.27161250766401,8.70828283803083,12.0317171619692
"87","1521",13.39,18.69,1.39581777445855,9.59368823540011,9.09631176459989
"88","1523",15.52,33.15,2.13595360824742,18.7728426041985,14.3771573958015
"89","1533",21.94,22.73,1.03600729261623,7.92636599723631,14.8036340027637
"90","1536",13.21,25.36,1.91975775927328,16.8724312239067,8.48756877609332
"91","1543",12.84,19.15,1.49143302180685,10.687945471117,8.46205452888296
"92","1545",23.1,28.27,1.22380952380952,8.47400134395258,19.7959986560474
"93","1546",11.51,23.48,2.03996524761077,18.2444031645929,5.23559683540705
"94","1557",20.3,29.63,1.45960591133005,10.287567213825,19.342432786175
"95","1558",17.39,30.53,1.75560667050029,14.3705540318921,16.1594459681079
"96","1809",16.61,26.28,1.58217940999398,11.92064121764,14.35935878236
"97","1810",13.9,25.08,1.80431654676259,15.1104491619613,9.96955083803867
"98","1811",17.3,27.72,1.60231213872832,12.1987722178878,15.5212277821122
"99","1812",15.15,27.56,1.81914191419142,15.3401605513115,12.2198394486885
"100","1821",17.21,28.18,1.63742010459035,12.6839979817827,15.4960020182173
"101","1823",14.45,27.67,1.91487889273356,16.8025536927718,10.8674463072282
"102","1824",15.94,27.8,1.74404015056462,14.1990016765454,13.6009983234546
"103","1845",15.06,26.75,1.77622841965471,14.6805251913519,12.0694748086481
"104","1846",15.2,27.46,1.80657894736842,15.1454033465488,12.3145966534512
