"","reaction_type","sampleID","starting_quantity","cpD1"
"154","all_products","559","NaN","27.52"
"155","all_products","583","NaN","30.85"
"156","all_products","607","NaN","27.96"
"157","all_products","631","NaN","27.79"
"158","all_products","654","NaN","27.00"
"159","all_products","679","NaN","26.07"
"160","all_products","703","NaN","26.27"
"161","all_products","1812","NaN","27.56"
"162","all_products","1845","NaN","26.75"
"163","all_products","gblock+IRE_plus18IRE","0.50","13.21"
"164","all_products","gblock+IRE_plus18IRE","0.50","12.98"
"165","all_products","gblock+IRE_plus18IRE","0.50","12.36"
"169","all_products","977","NaN","28.42"
"170","all_products","1013","NaN","23.75"
"171","all_products","1075","NaN","25.34"
"172","all_products","1259","NaN","24.38"
"173","all_products","1282","NaN","22.88"
"174","all_products","1223","NaN","27.75"
"175","all_products","1317","NaN","14.18"
"176","all_products","1380","NaN","21.59"
"177","all_products","1452","NaN","21.70"
"178","all_products","1389","NaN","25.89"
"179","all_products","1486","NaN","15.29"
"180","all_products","1523","NaN","33.15"
"181","all_products","1543","NaN","19.15"
"182","all_products","1449","NaN","18.81"
"183","all_products","1332","NaN","16.79"
"184","all_products","512","NaN","27.50"
"185","all_products","536","NaN","28.48"
"186","all_products","560","NaN","27.12"
"187","all_products","584","NaN","27.24"
"188","all_products","608","NaN","27.85"
"189","all_products","632","NaN","27.46"
"190","all_products","655","NaN","27.30"
"191","all_products","680","NaN","28.20"
"192","all_products","704","NaN","26.32"
"193","all_products","1824","NaN","27.80"
"194","all_products","1025","NaN","1"
"195","all_products","1039","NaN","24.53"
"196","all_products","1087","NaN","23.08"
"197","all_products","1260","NaN","24.41"
"198","all_products","1283","NaN","24.06"
"199","all_products","1294","NaN","23.17"
"200","all_products","1221","NaN","12.23"
"201","all_products","1521","NaN","18.69"
"202","all_products","1533","NaN","22.73"
"203","all_products","1392","NaN","23.05"
"204","all_products","1499","NaN","21.50"
"205","all_products","1450","NaN","24.34"
"206","all_products","1461","NaN","27.62"
"207","all_products","1485","NaN","24.03"
"208","all_products","521","NaN","28.01"
"209","all_products","545","NaN","24.30"
"210","all_products","569","NaN","26.92"
"211","all_products","593","NaN","25.70"
"212","all_products","617","NaN","29.69"
"213","all_products","656","NaN","25.46"
"214","all_products","665","NaN","29.81"
"215","all_products","689","NaN","27.46"
"216","all_products","713","NaN","28.91"
